rainfall_mm,river_water_level,relative_river_level_m,soil_moisture_percent,slope_angle_degrees,wind_speed_kmh,vegetation_density_ndvi,soil_type_idx,soil_texture_idx,lithology_idx,disaster_occurred
116.4,51.2,6.2,67.5,0.3,28.6,0.4,3,1,3,1
131.8,50.9,5.9,73.6,0.9,13.8,0.5,2,3,3,1
7.8,43.5,-1.5,19.9,53.3,8.7,0.78,1,1,1,0
48.7,43.6,-1.4,40.5,54.7,38.2,0.55,2,3,1,0
49.3,43.3,-1.7,47.0,45.2,20.2,0.74,1,2,1,0
34.2,43.4,-1.6,36.4,30.7,26.4,0.43,2,1,1,0
22.3,45.7,0.7,35.8,4.6,36.0,0.7,3,1,3,0
37.7,46.5,1.5,31.4,8.1,31.2,0.41,3,2,3,0
37.4,43.7,-1.3,36.6,30.0,19.5,0.57,1,1,1,0
34.0,40.8,-4.2,31.3,28.2,28.8,0.64,1,2,1,0
13.3,43.4,-1.6,17.6,59.0,22.4,0.66,1,2,1,0
20.3,43.4,-1.6,30.6,9.5,38.7,0.69,3,3,3,0
21.2,43.0,-2.0,25.0,1.5,5.8,0.52,2,2,3,0
3.5,40.4,-4.6,26.7,33.4,10.1,0.7,1,2,1,0
30.2,45.8,0.8,36.3,2.7,21.0,0.69,3,3,3,0
121.7,41.2,-3.8,70.4,40.3,5.3,0.21,2,3,1,1
138.1,51.0,6.0,69.5,2.3,10.3,0.64,2,3,3,1
154.5,41.0,-4.0,81.1,33.5,34.2,0.18,2,3,2,1
130.7,50.6,5.6,65.1,0.6,12.3,0.62,3,2,3,1
22.0,43.2,-1.8,38.8,8.7,38.4,0.48,2,1,3,0
36.1,43.7,-1.3,24.5,1.7,20.6,0.49,3,2,3,0
2.9,40.9,-4.1,12.4,39.8,17.5,0.69,2,1,1,0
134.9,44.8,-0.2,77.5,42.6,14.4,0.22,1,1,1,1
23.3,45.1,0.1,38.0,5.8,13.2,0.55,2,3,3,0
15.8,43.4,-1.6,17.8,33.4,23.3,0.7,2,3,1,0
155.8,49.2,4.2,77.2,0.7,16.4,0.5,2,2,3,1
190.3,44.7,-0.3,100.0,46.4,34.7,0.15,1,1,2,1
13.2,41.0,-4.0,33.4,34.9,38.8,0.6,1,1,2,0
198.4,41.7,-3.3,98.2,54.0,33.2,0.13,1,3,1,1
23.3,43.6,-1.4,21.9,1.1,17.3,0.52,2,1,3,0
43.7,41.8,-3.2,42.5,32.4,42.0,0.79,1,1,1,0
217.9,50.0,5.0,100.0,9.8,37.1,0.65,2,3,3,1
175.3,49.6,4.6,98.5,2.7,19.0,0.45,2,1,3,1
2.8,46.1,1.1,18.1,0.2,25.4,0.46,2,3,3,0
13.3,40.9,-4.1,24.0,57.9,34.1,0.44,1,2,2,0
2.2,44.5,-0.5,21.3,46.2,37.3,0.57,1,3,2,0
